Review,Rating
Does absolutely nothing for a LinkedIn beginner.. Force closes too.. Useless app,1
Force close(galaxy tab),1
Slow and it tries to upload your contacts without asking WTF?,1
Add ability to customize the profile and move to SD card and the app will be a 5 star one!,4
"Good app, but it's a pain that it's not possible to see your sent messages, it kind of confusing if your message was sent out at all!",4
This app is poor and bad. Linkedin app on my HTC Desire is bugged :(,1
Finally,5
"Have been using DroidIn. Ability to move to SD card would get 5 star rating. Thank you! Kyle, Evo",4
Works fine on Samsung Captivate.,4
Clean design with limited features. How about adding invites by email or address book integration?,3
App works fine but has limited functionality. I'm uninstalling until it has more features like group access.,3
Piece of s**t app. Really? You want people to use this?,1
Simple. Basic. But works perfectly for main functions. Fast. Stable.,3
though you do have to pay,1
Lame. May try it again later when it has more features. Sync unnecessary and drains battery.,1
"Nothing special comparing to web. Please, enable Install-2-sdcard",2
This is a very good start toward emulating the program on Android. I haven't experienced any problems with the program at all. Mighty fine jam fellows,5
Great App - better than laptop,5
"Not a bad start, but needs more features like upload image, whatever is aval on the website. App2sd would be nice too!",3
This app should include where u can scan contacts and update your profile.,1
Uh............GROUPS????,1
Great!,5
Not working on dhd,1
LI - are you reading these reviews??? Force closes on my Epic 4G... c'mon !,1
Not working on LG optimus,1
Force close,1
Wont let you edit,3
It doesn't let you update profile information or upload picture,3
"My phone crashed on first run but after that it's running fine. DroidIn has separate tabs for profile sections, this doesn't. Samsung Galaxy Ace.",3
Looked good but then stopped working HTC desire hd.,2
"Non-market beta worked well, but the full release crashes on startup. X10 Mini Pro",1
Is Force Closing when looking up contacts...,3
No 'Group' updates or even views. No real value here yet...,3
Needs to have the ability to update/edit profile,3
"Needs to have a ""move to SD card"" option.",4
"Looked good in theory. In reality, keeps crashing. After pressing any button screen goes black. Too bad. Uninstalling. Will wait for later version.",1
Great!,5
Ok for retrieving contact updates etc but currently DroidIn is quite a bit better. Would be useful to be able to confirm invitations before sending,3
Works fine. No issues. Future enhancements like contact sync will make this a great app.,4
"Good start, but needs way more features such as, group views & better search browsing.",3
My picture don't load at the bottom...,3
Continual crashing on booting up,2
Can't sign in. It just hangs at the loading screen. Droid 1.,1
Worked once now keeps crashing,1
Good initially but now crashes.best avoid until update.,2
"Phone vibrates and crashes every time on my galaxy S. As much as I love linkedin, this app should have undergone more thorough testing.",1
Used to work. Now just force closes on clicking anything from main menu.,1
Can't make changes to profile or anything. Basically an email app.,1
Doesn't log in. FAIL,1
"OK, but no option to install to SD card",3
Force closes with Gingerbread after trying to navigate anywhere. DROID X.,2
Force closing on every action,1
Forces close on every action was working till yesterday...,3
Ok but need landscape mode for xoom,3
Constantly trying to update.unusable!,1
"Doesn't work at all, can't get past home screen. T-Mobile MT4G",1
Works like a charm,5
"I installed and it deleted my exchange email account as well as related contacts and calander. Uninstalled, very disappointing.",1
Ok but needs an option to move to SD card,2
Unusable on wildfire!,1
So far so good HTC thunderbolt,4
Keeps refreshing and often opening a linkedin part doesn't work either.,2
Force close on every action Galaxy Tab,1
Force closes no matter what you try and do.,1
No group! Needs some big changes...,2
Force close. Worked fine before update.,1
Force close on every action. HTC Desire,1
"ten min to load the main page, then click on any button and another ten min of loading. hundreds of apps running fine on my droid x - this one can't",1
Motorola Quench XT502. It works.,4
Won't load past main screen - Evo 4G,1
"UPDATED REVIEW: Restarted my phone and the app works fine now. Only negative is there's no settings options (i. e. notifications, etc...) - Captivate",3
Freezes after signing in. DROID pro,1
Force closes every time there is a sync process,1
No change log = bad review,1
Fc,1
No Q&A.,2
I did not want this app; I installed it for a bad review. Several nights I get text ads for this stupid thing. Please leave me alone!,1
Takes up valuable phone memory. Should move to SD card memory..... then i would reinstall!,1
Will not go past the loading screen does not work on my HTC Hero...,1
very poor,1
"Does not work! ! ! Sucks, uninstalled",1
This doesn't work at all. Hopefully using your linkedin network you can find a developer to fix this for you.... HTC Desire HD,1
This needs a groups setting,2
Doesn't do much of anything - no email or other syncs,1
Constantly force close... uninstalling this crap (Motorola Milestone),1
"After removing the beta because it would just update forever, I tried this new version. Same issue. Installing it and staying w Droidin.",1
"Bad app, uninstalled. Force close on xperia x10. Shame on linkedin",1
Incredibly slow. Pretty much unusable. Droidx,2
I'd really value 2 changes.1. A way ti mute Updates.2. Access to groups - To me groups are the Main point of Li !!!,2
"I mainly use this app on my Xoom tablet, and the lack of landscape support is a major pain. Not to mention the fact that you can't edit your profile. Somewhat useless at the moment.",3
Force closes every time I open it. HTC Desire HD...Disappointing...,1
Doesn't work. Force closes. Htc Evo,1
This app is crap. Provides only 10% of linkedin's functionality and runs in background and drains your battery.,1
"Didn't like it. I'm uninstalling, other reviews are true, it is very limited functionality (ie: no groups).",1
Great app! I would like to be able to view stats though.,4
Great app,4
"No SD move, more space on phone",1
Would give it 5 stars if it had a contact sync... love it!,4
Useless app. Too little. Too late.,1
Its ok,4
Freezing on my vibrant. Its been acting up since the last update,2
"So far, so good. It took awhile, but really glad they finally came out with the Android version.",5
Force Close! G2X,1
"Works well, just wish it had a few more features like Groups. Droid X.",4
Force close when I click my profile,5
Works good! ATRIX 3G,4
"Needs work when searching for someone, its all glitchy EVO 4G",2
After the update this won't work at all - uninstalling.Desire HD,1
Needs contact sync to be truly useful.,2
Dont be scared off by the facebook-looknfeel. Its way better...,5
Won't allow me to send connection invites from phone...the 'to' field go to my address book instead of the person I clicked to invite.,2
Can be slow to load pages.,3
Last update broke it for HTC Desire on Froyo - no longer works except over wifi. Really needs move to SD option too...,1
Finally! Works great,4
"Ok, but is limited compared to web access...opportunities for more development improvements",3
Freezes and crashes everyone I try to use it. Xperia Arc,1
Good app for keeping track of contacts on the fly. I use regularly to send messages and Would be great if group functions were included.,4
WTF is the point in this app? Bring 50% functionality of the web version and it will be 100% better. Sort it out!!!!! Nexus S :-(,1
Perfect except there is no widget functionality.,4
Ok for basic linkedin functionality on the move. For all the features use the mobile site.,3
It can allowed me to access my groups easily?,3
App to SD needed - uninstalling until then.,1
Formatting on messaging needs to be fixed. Can't tell where the paragraph breaks are while typing. HTC Incredible.,3
Freezes constantly on Nexus S/ Android 2.3.4,1
"Desire - works really well, good app.",4
Synchronizes something but not what it should: contacts,3
Total freeze on first startup. Back to droidin...,1
Pls allow to edit the profile too,4
Aún faltan funciones,3
"It won't work. It loads, and shows the icons, but thats it.",1
"Very slow on start - it takes several minutes, before app is usable. Unistall. Linkedin from HTC is much much better.",1
"Looks & works well on galaxy ace, but can't even edit my profile data so not very useful.",2
"Way too slow to load. Waited over a min for updates to load on wifi, ended up giving up. Don't bother downloading this at all. DROID X",1
Could really benefit from having groups and company functions along with contact sync,3
Needs work. Buggy and lacking features,3
"Very limited, can't see group discussions.",2
Doesn't sync contacts with addressbook,2
"Seems like the app is running too much code in the UI thread, causing the UI to freeze every now and then.",3
Opens and freezes while trying to go initial update. HTC Desire.,4
1.0.3 is much better! Next nit pick... would like to be able to edit my profile.,4
"Never logs in, just ""loading"" for 15 min. Tried several times, even wiping data. Uninstalled. -Droid 2.3.3",1
Brilliant!,5
App doesnt remember login.,4
Works fine for me just lite on features. Inspire.,3
"Works well for what it is, but extremely lite on features. I like to use group discussions and can't seen to access then with this. Fix please :-)",1
Please could you add groups and then this app would move from 3 stars to at least 4,3
please make it possible to move app2sd!,2
"Application was not functional. will try to uninstall, then reinstall.",1
Can't add or delete a connection,1
V. Cool been waiting for this for so long!,5
Great application for keeping up to date,5
Every action takes way too long to load. Worse than dial up. Installed and reinstalled and no better. DROID X,2
"Looks good, but very slow.",3
Force closes all the time... very poor app. HTC Wildfire.,1
Hangs after login on gingerbread. Htc desire s,1
"The app works wellbut does not have a lot of the functionality you'd expect: no access to groups, jobs, etc.",3
"Just stalls at connection, only been able to access a couple of times. DHD",1
Creates ease of process and helps me provide timely feedback and/or questions to my member groups.,4
Liked it,4
Takes ages to login. Lacks all features. But a good beginning.,2
Slowwwww,2
All it does after logging in is load and becomes unresponsive. UNINSTALLING......DroidX running gingerbread.,1
Bit poor expect better than that,2
"Installed fine on HTC inspire. Logged in fine, then it did a never-ending sync. App fail!",1
"Worked exactly once the first time I run it, after it crashed once. Ever since then unresponsive. Reinstated now perfect. Mytouch 4G on T-Mobile.",4
Good interface but No notifications? :-( not connecting since the last upgrade.,3
Been with the app since beta and only gets better. Droid2.,5
Application is good but no use ...can't access to group discussion feature which I likes more... Please please include it or close this application.,2
